%*****************************
%          -----------------------
%********* PECs Fe XV .threshold 1.e4
%          -----------------------
1)Emissivity for levels 2<-11 (s1p10100<-s1d10102) Wavelength 224.7540 (A)
  n_e	                      T_e  (eV) 
1.0e13	    7.94e+02  8.44e+02  8.36e+02  8.19e+02  7.81e+02  7.68e+02  
7.44e+02  7.16e+02
3.0e13	    2.26e+03  2.40e+03  2.39e+03  2.34e+03  2.23e+03  2.20e+03  
2.13e+03  2.05e+03
6.0e13	    4.30e+03  4.59e+03  4.57e+03  4.48e+03  4.28e+03  4.22e+03  
4.09e+03  3.93e+03
1.0e14	    6.89e+03  7.38e+03  7.35e+03  7.22e+03  6.91e+03  6.81e+03  
6.61e+03  6.36e+03
3.0e14	    1.91e+04  2.06e+04  2.07e+04  2.04e+04  1.96e+04  1.93e+04  
1.88e+04  1.80e+04
4)Emissivity for levels 5<-9 (g2p40000<-2sp50002) Wavelength 106.1050 (A)
  n_e	                       T_e  (eV) 
106.105         200       400       600       800      1200      1500      
1800      2000
1.0e12	    1.28e+00  1.49e+00  1.53e+00  1.52e+00  1.47e+00  1.44e+00  
1.40e+00  1.35e+00
3.0e12	    4.32e+00  4.97e+00  5.09e+00  5.08e+00  4.91e+00  4.84e+00  
4.69e+00  4.51e+00
6.0e12	    9.94e+00  1.13e+01  1.16e+01  1.16e+01  1.12e+01  1.11e+01  
1.08e+01  1.03e+01
1.0e13	    1.92e+01  2.16e+01  2.22e+01  2.22e+01  2.15e+01  2.14e+01  
2.07e+01  1.98e+01
3.0e13	    8.80e+01  9.67e+01  9.84e+01  9.85e+01  9.54e+01  9.50e+01 
 9.20e+01  8.76e+01
6.0e13	    2.32e+02  2.52e+02  2.54e+02  2.53e+02  2.44e+02  2.43e+02  
2.36e+02  2.25e+02
1.0e14	    4.62e+02  4.98e+02  4.98e+02  4.94e+02  4.75e+02  4.73e+02  
4.58e+02  4.37e+02
3.0e14	    1.82e+03  1.94e+03  1.91e+03  1.88e+03  1.79e+03  1.78e+03  
1.72e+03  1.64e+03
5) Emissivity for levels 3<-8 (g2p40102<-2sp50000) Wavelength 106.3170 (A)
